# Temps	MSD_moyen	Sim_0	Sim_1	Sim_2	Sim_3	Sim_4	Sim_5	Sim_6	Sim_7	Sim_8	Sim_9	Sim_10	Sim_11	Sim_12	Sim_13	Sim_14	Sim_15	Sim_16	Sim_17	Sim_18	Sim_19
5.190000e+02	7.948521e-01	2.647611e-01	2.850521e-01	6.014691e-01	9.018471e-01	1.177776e-01	5.308918e-02	8.011687e-01	1.074737e-01	1.512202e+00	3.677870e+00	2.592102e-01	5.366922e-01	9.391428e-02	4.655045e-01	1.223712e+00	2.746580e+00	1.069541e+00	3.282279e-01	8.354665e-01	1.548326e-02
5.200000e+02	7.984053e-01	2.652827e-01	2.836214e-01	6.071103e-01	9.018830e-01	1.189090e-01	5.266231e-02	8.081201e-01	1.069815e-01	1.513532e+00	3.703278e+00	2.596471e-01	5.402183e-01	9.365404e-02	4.659577e-01	1.228972e+00	2.762994e+00	1.077779e+00	3.267362e-01	8.351078e-01	1.566012e-02
5.210000e+02	8.013846e-01	2.651037e-01	2.823007e-01	6.105515e-01	9.008952e-01	1.201610e-01	5.260843e-02	8.138663e-01	1.057745e-01	1.515364e+00	3.724753e+00	2.599171e-01	5.423393e-01	9.367407e-02	4.655547e-01	1.235182e+00	2.778581e+00	1.086034e+00	3.249664e-01	8.341272e-01	1.593766e-02
5.220000e+02	8.040353e-01	2.640002e-01	2.795700e-01	6.137118e-01	9.003031e-01	1.214381e-01	5.279755e-02	8.190156e-01	1.043003e-01	1.514487e+00	3.743317e+00	2.605092e-01	5.445538e-01	9.389167e-02	4.650002e-01	1.243963e+00	2.792518e+00	1.093272e+00	3.237297e-01	8.338217e-01	1.650717e-02
5.230000e+02	8.062177e-01	2.636816e-01	2.744882e-01	6.169163e-01	8.996519e-01	1.228455e-01	5.325308e-02	8.243792e-01	1.030288e-01	1.508364e+00	3.760075e+00	2.609737e-01	5.461504e-01	9.418386e-02	4.645397e-01	1.254002e+00	2.804832e+00	1.098146e+00	3.227006e-01	8.349700e-01	1.717077e-02
5.240000e+02	8.079928e-01	2.638087e-01	2.681672e-01	6.208427e-01	8.986969e-01	1.238643e-01	5.364686e-02	8.307020e-01	1.016916e-01	1.499194e+00	3.775522e+00	2.616440e-01	5.467215e-01	9.464795e-02	4.648477e-01	1.262510e+00	2.816569e+00	1.101663e+00	3.215415e-01	8.360163e-01	1.755808e-02
5.250000e+02	8.096162e-01	2.644605e-01	2.615951e-01	6.243815e-01	8.984877e-01	1.249930e-01	5.362860e-02	8.360664e-01	1.004465e-01	1.489168e+00	3.791179e+00	2.624335e-01	5.473176e-01	9.477683e-02	4.649542e-01	1.270704e+00	2.826752e+00	1.106064e+00	3.206848e-01	8.364771e-01	1.775368e-02
5.260000e+02	8.110738e-01	2.652547e-01	2.549269e-01	6.248093e-01	8.992389e-01	1.260440e-01	5.366691e-02	8.398152e-01	9.914901e-02	1.479757e+00	3.808856e+00	2.633795e-01	5.477730e-01	9.444224e-02	4.644323e-01	1.277972e+00	2.835434e+00	1.111579e+00	3.196057e-01	8.374773e-01	1.786240e-02
5.270000e+02	8.128043e-01	2.656370e-01	2.486090e-01	6.234758e-01	9.005752e-01	1.263834e-01	5.384554e-02	8.439185e-01	9.797125e-02	1.472858e+00	3.828675e+00	2.647125e-01	5.486183e-01	9.372477e-02	4.645156e-01	1.286057e+00	2.843062e+00	1.117557e+00	3.183622e-01	8.397216e-01	1.780814e-02
5.280000e+02	8.148536e-01	2.660704e-01	2.427967e-01	6.223611e-01	9.015031e-01	1.267525e-01	5.373014e-02	8.486288e-01	9.730979e-02	1.466433e+00	3.851271e+00	2.661305e-01	5.505424e-01	9.252158e-02	4.640247e-01	1.296514e+00	2.848015e+00	1.124415e+00	3.174398e-01	8.427530e-01	1.785846e-02
5.290000e+02	8.171882e-01	2.667061e-01	2.377514e-01	6.214995e-01	9.036213e-01	1.273019e-01	5.398024e-02	8.527582e-01	9.679242e-02	1.459672e+00	3.876504e+00	2.678873e-01	5.531105e-01	9.114720e-02	4.631544e-01	1.307256e+00	2.852233e+00	1.131960e+00	3.168768e-01	8.454272e-01	1.812390e-02
5.300000e+02	8.195239e-01	2.674259e-01	2.332803e-01	6.194119e-01	9.072410e-01	1.276434e-01	5.478135e-02	8.546096e-01	9.661866e-02	1.454886e+00	3.902181e+00	2.703167e-01	5.557980e-01	8.999478e-02	4.626126e-01	1.316836e+00	2.856400e+00	1.139797e+00	3.155584e-01	8.464137e-01	1.867155e-02
5.310000e+02	8.219068e-01	2.678102e-01	2.293206e-01	6.174108e-01	9.112192e-01	1.286053e-01	5.600009e-02	8.545178e-01	9.666073e-02	1.453562e+00	3.925851e+00	2.724235e-01	5.587775e-01	8.913414e-02	4.625054e-01	1.325773e+00	2.861061e+00	1.147536e+00	3.139142e-01	8.466672e-01	1.938573e-02
5.320000e+02	8.246777e-01	2.687679e-01	2.259497e-01	6.159748e-01	9.170848e-01	1.297066e-01	5.766258e-02	8.539791e-01	9.648831e-02	1.454285e+00	3.948398e+00	2.741736e-01	5.623094e-01	8.821147e-02	4.634620e-01	1.335590e+00	2.866542e+00	1.153924e+00	3.127053e-01	8.483120e-01	2.002631e-02
5.330000e+02	8.272984e-01	2.703537e-01	2.231331e-01	6.139319e-01	9.240332e-01	1.299951e-01	5.914712e-02	8.547249e-01	9.605060e-02	1.454144e+00	3.967549e+00	2.751888e-01	5.663831e-01	8.731871e-02	4.640321e-01	1.343876e+00	2.872832e+00	1.161416e+00	3.111033e-01	8.501989e-01	2.055795e-02
5.340000e+02	8.293954e-01	2.717696e-01	2.211165e-01	6.116731e-01	9.300744e-01	1.297234e-01	6.029396e-02	8.574404e-01	9.526721e-02	1.452866e+00	3.982067e+00	2.754953e-01	5.705221e-01	8.680103e-02	4.633056e-01	1.349597e+00	2.878535e+00	1.170004e+00	3.093953e-01	8.511313e-01	2.082871e-02
5.350000e+02	8.312514e-01	2.726808e-01	2.190347e-01	6.107997e-01	9.350345e-01	1.283840e-01	6.108320e-02	8.605202e-01	9.462630e-02	1.452070e+00	3.991561e+00	2.757615e-01	5.741696e-01	8.667967e-02	4.625075e-01	1.356007e+00	2.884833e+00	1.178512e+00	3.084956e-01	8.511841e-01	2.108284e-02
5.360000e+02	8.334043e-01	2.732295e-01	2.169019e-01	6.127850e-01	9.410974e-01	1.269319e-01	6.207848e-02	8.639613e-01	9.428904e-02	1.450305e+00	3.999422e+00	2.763684e-01	5.782651e-01	8.724832e-02	4.626960e-01	1.364447e+00	2.889939e+00	1.187633e+00	3.076066e-01	8.513629e-01	2.151802e-02
5.370000e+02	8.358967e-01	2.743343e-01	2.153569e-01	6.164224e-01	9.494156e-01	1.263362e-01	6.337607e-02	8.670426e-01	9.388075e-02	1.446014e+00	4.009088e+00	2.779781e-01	5.823422e-01	8.833413e-02	4.637061e-01	1.372369e+00	2.892261e+00	1.197660e+00	3.067016e-01	8.532356e-01	2.207866e-02
5.380000e+02	8.384636e-01	2.765727e-01	2.133037e-01	6.189575e-01	9.574548e-01	1.261925e-01	6.434793e-02	8.698156e-01	9.357550e-02	1.440658e+00	4.018174e+00	2.799651e-01	5.854012e-01	8.933718e-02	4.659323e-01	1.377416e+00	2.896156e+00	1.209659e+00	3.066148e-01	8.569016e-01	2.283566e-02
5.390000e+02	8.405024e-01	2.790907e-01	2.102079e-01	6.209509e-01	9.636079e-01	1.263998e-01	6.531864e-02	8.730092e-01	9.297019e-02	1.436122e+00	4.024827e+00	2.817080e-01	5.875785e-01	9.055368e-02	4.681747e-01	1.380120e+00	2.898122e+00	1.219980e+00	3.070469e-01	8.606982e-01	2.356228e-02
5.400000e+02	8.418961e-01	2.814576e-01	2.066769e-01	6.232289e-01	9.679443e-01	1.266599e-01	6.685520e-02	8.755853e-01	9.204627e-02	1.431866e+00	4.029372e+00	2.833427e-01	5.896371e-01	9.218358e-02	4.693924e-01	1.383341e+00	2.894901e+00	1.227644e+00	3.077568e-01	8.638174e-01	2.421451e-02
5.410000e+02	8.431407e-01	2.828461e-01	2.038450e-01	6.248826e-01	9.704951e-01	1.269066e-01	6.874011e-02	8.772658e-01	9.174516e-02	1.428076e+00	4.036099e+00	2.847418e-01	5.919606e-01	9.367805e-02	4.695623e-01	1.388444e+00	2.888597e+00	1.234363e+00	3.088077e-01	8.666526e-01	2.510564e-02
5.420000e+02	8.445418e-01	2.827758e-01	2.023031e-01	6.259235e-01	9.725491e-01	1.274920e-01	7.051666e-02	8.803003e-01	9.225241e-02	1.426714e+00	4.045925e+00	2.852784e-01	5.948156e-01	9.482671e-02	4.697214e-01	1.394504e+00	2.881239e+00	1.238784e+00	3.100893e-01	8.686997e-01	2.612621e-02
5.430000e+02	8.460374e-01	2.821200e-01	2.016692e-01	6.277192e-01	9.755806e-01	1.278635e-01	7.234065e-02	8.844401e-01	9.359657e-02	1.428440e+00	4.053367e+00	2.853380e-01	5.979493e-01	9.598298e-02	4.700867e-01	1.400212e+00	2.874749e+00	1.241877e+00	3.110793e-01	8.693359e-01	2.700018e-02
5.440000e+02	8.475840e-01	2.812973e-01	2.005761e-01	6.305442e-01	9.777718e-01	1.280871e-01	7.444071e-02	8.879108e-01	9.489868e-02	1.431282e+00	4.062235e+00	2.852330e-01	6.005721e-01	9.693323e-02	4.697490e-01	1.407130e+00	2.867584e+00	1.246044e+00	3.120749e-01	8.696154e-01	2.770076e-02
5.450000e+02	8.493758e-01	2.803993e-01	1.987291e-01	6.335459e-01	9.796761e-01	1.283238e-01	7.624108e-02	8.890717e-01	9.571674e-02	1.433384e+00	4.074493e+00	2.861001e-01	6.032354e-01	9.757738e-02	4.697511e-01	1.416690e+00	2.861774e+00	1.250651e+00	3.137136e-01	8.702346e-01	2.820779e-02
5.460000e+02	8.511508e-01	2.799592e-01	1.973760e-01	6.363966e-01	9.826738e-01	1.283416e-01	7.754137e-02	8.888699e-01	9.661339e-02	1.435279e+00	4.080233e+00	2.868345e-01	6.062871e-01	9.848586e-02	4.711827e-01	1.426550e+00	2.859107e+00	1.254736e+00	3.151649e-01	8.726953e-01	2.868917e-02
5.470000e+02	8.527169e-01	2.803637e-01	1.966441e-01	6.384985e-01	9.857076e-01	1.280436e-01	7.877664e-02	8.908123e-01	9.793422e-02	1.435525e+00	4.079923e+00	2.860564e-01	6.097533e-01	9.901991e-02	4.735738e-01	1.436698e+00	2.856412e+00	1.257829e+00	3.165060e-01	8.772147e-01	2.904424e-02
